Tick;Step;actionPoints;currStance;energy;inGame;magazineCount;tagged;targetDistance;visibility;visualRange;wasTagged;0_Position;1_Position;ID
0;0;10;Standing;100;True;5;False;0.0;10.0;10.0;False;9,0;6,0;3681bf9a-786b-4216-96ba-99a60ca971d9
0;0;10;Standing;100;True;5;False;0.0;10.0;10.0;False;2,0;9,0;e1847ba5-64bf-4fd7-ae21-918de83d5f89
