Tick;Step;DateTime;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;46,0;2e339c4d-768f-4cbc-8355-ad6553f09ab4
0;0;2019-01-01T11:00:00.0000000+01:00;1,0;51,0;76db71a2-09d1-4109-ae46-ab24bd3fc507
0;0;2019-01-01T11:00:00.0000000+01:00;10,0;0,0;c966c1a0-42b5-4c36-819a-51c80394bc7d
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;41,0;0fa97c45-c404-49f1-a93b-5f28ee159476
0;0;2019-01-01T11:00:00.0000000+01:00;25,0;0,0;bf2a83fd-5b5c-4ce5-9512-311acd40f97e
0;0;2019-01-01T11:00:00.0000000+01:00;18,0;51,0;37f5e835-8340-47c2-9320-86db4e625ffd
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;50,0;db9f2b35-4ec6-4ae0-ac29-96dea804526e
0;0;2019-01-01T11:00:00.0000000+01:00;32,0;0,0;5a139a6d-58a5-4cca-9c9b-b0467a073903
0;0;2019-01-01T11:00:00.0000000+01:00;40,0;51,0;8f9c4d88-a8d4-490c-a333-02d9127665d0
0;0;2019-01-01T11:00:00.0000000+01:00;11,0;51,0;637360a0-3334-4521-8e22-d8d902e517c0
0;0;2019-01-01T11:00:00.0000000+01:00;12,0;51,0;79e48fbd-692c-4d9c-9beb-796a97dd11fd
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;7,0;00e2f443-4c58-4485-ad8f-3bc7a9980dc3
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;48,0;ac375ad7-c4ee-46f9-96be-52f94f48ccf1
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;24,0;28a3963d-811d-4a12-807a-991874d64ac7
0;0;2019-01-01T11:00:00.0000000+01:00;15,0;0,0;94785c9a-5895-44ff-99b5-051d38b44dfc
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;10,0;60ec9cb2-fbc9-4920-8f73-9a239c4508f5
0;0;2019-01-01T11:00:00.0000000+01:00;40,0;0,0;293a2fe1-3720-4ec7-b269-62af8d332cca
0;0;2019-01-01T11:00:00.0000000+01:00;25,0;51,0;8b7cac6b-b273-4ebe-9bc6-fa5cd193f511
0;0;2019-01-01T11:00:00.0000000+01:00;26,0;0,0;7446d6dd-44fc-4ca4-8676-aa8f8072410d
0;0;2019-01-01T11:00:00.0000000+01:00;48,0;0,0;eaa1c494-9525-4db0-b35c-41832d663ede
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;1,0;742485a6-9f91-4ee6-84f7-aa383426c499
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;37,0;9e03a483-6193-4e55-b205-fb8ef8fcdaac
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;21,0;3f4b4142-a33c-4c48-a2c7-cdf79dfeaa32
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;21,0;25b8f517-29fc-4b11-b145-eb430c3a6b86
0;0;2019-01-01T11:00:00.0000000+01:00;39,0;51,0;1c3b3aa4-476f-4246-a351-f5a632af1f96
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;11,0;869df3fb-cfe5-4933-81e8-a94d26d6831e
0;0;2019-01-01T11:00:00.0000000+01:00;22,0;51,0;24e43d70-41cd-4a4e-8dc2-0f7b1b18485d
0;0;2019-01-01T11:00:00.0000000+01:00;7,0;51,0;692c24e9-4817-4cb2-9203-104490a9108c
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;13,0;cad9a8d1-b096-4b46-acab-585ed706ebb9
0;0;2019-01-01T11:00:00.0000000+01:00;35,0;0,0;b551f557-a6e4-4fe8-b4d0-394b6f2af8aa
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;45,0;57b66e67-2dbe-44e5-91c5-17a316fbc2ae
0;0;2019-01-01T11:00:00.0000000+01:00;0,0;14,0;3acb3478-ddff-4212-a16c-b6ea931df4ac
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;3,0;c687869a-873f-44ea-82a3-c55430b6cc78
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;18,0;a8cd3f37-e063-47b0-9600-7909ea566b36
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;16,0;40d34de1-1c1a-428c-843e-0c35f55a3137
0;0;2019-01-01T11:00:00.0000000+01:00;41,0;0,0;1c69d283-26da-4c16-a6ee-99fecf0596f8
0;0;2019-01-01T11:00:00.0000000+01:00;31,0;51,0;b4404d1b-1d91-4ca4-bf30-8dc324f829e4
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;36,0;9eac1c65-b582-403c-be3a-c1872500606e
0;0;2019-01-01T11:00:00.0000000+01:00;51,0;23,0;54136b4f-7ae5-4754-9239-084ca5696371
