Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
14;14;2019-01-01T11:00:14.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;15,0;37,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
15;15;2019-01-01T11:00:15.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;1,0;16,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
15;15;2019-01-01T11:00:15.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;16,0;36,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
16;16;2019-01-01T11:00:16.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;2,0;17,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
16;16;2019-01-01T11:00:16.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;17,0;35,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
17;17;2019-01-01T11:00:17.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;3,0;18,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
17;17;2019-01-01T11:00:17.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;18,0;34,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
18;18;2019-01-01T11:00:18.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;4,0;19,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
18;18;2019-01-01T11:00:18.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;19,0;33,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
19;19;2019-01-01T11:00:19.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;5,0;20,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
19;19;2019-01-01T11:00:19.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;20,0;32,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
